FBin        FFTr             FFTi             SpectraPower
14A       FFFFFF3A         FFFFFFA5         000000000000B97D
14B       00000202         00000119         0000000000053C75
14C       FFFFFF81         FFFFFEE8         0000000000017141
14D       FFFFFFA2         FFFFFFF9         00000000000022B5
14E       FFFFFFC3         00000010         0000000000000F89
14F       000000D4         FFFFFF29         0000000000016421
150       00000009         000000B5         000000000000804A
151       FFFFFFBD         000000B8         00000000000095C9
152       FFFFFF13         FFFFFF51         000000000001530A
153       000000E8         FFFFFF8D         00000000000105E9
154       FFFFFFF5         000000D7         000000000000B50A
155       FFFFFF97         FFFFFF61         0000000000008DD2
156       0000010D         FFFFFF84         00000000000156B9
157       FFFFFF67         0000018E         000000000002C635
158       00000033         FFFFFDDD         0000000000049AF2
159       00000033         00000088         0000000000005269
15A       FFFFFFC4         FFFFFF88         0000000000004650
15B       00000085         0000004C         0000000000005BA9
15C       00000068         FFFFFEA1         0000000000020B81
15D       0000003E         000000F9         0000000000010135
15E       FFFFFF79         FFFFFF6B         0000000000009DEA
15F       00000012         00000013         00000000000002AD
160       0000013D         FFFFFF55         000000000001FAC2
161       FFFFFEA8         0000018C         00000000000432D0
162       000000C5         FFFFFD2F         000000000008863A
163       FFFFFF11         000001FA         000000000004C745
164       000001C6         FFFFFE3B         00000000000646BD
165       FFFFFEAE         00000219         00000000000624B5
166       00000096         FFFFFC3C         00000000000E85F4
167       0000001C         0000027B         0000000000062A29
168       00000018         FFFFFD54         00000000000725D0
169       00000170         000001E0         0000000000059500
16A       FFFFFFE5         FFFFFE87         0000000000022E0A
16B       FFFFFF6A         0000015E         0000000000023668
16C       000000C8         0000006E         000000000000CB84
16D       FFFFFF5D         FFFFFF5C         000000000000D0D9
16E       FFFFFDFA         0000002F         00000000000420C5
16F       0000034B         FFFFFF89         00000000000B0F4A
170       FFFFFE6A         0000012D         000000000003E5CD
171       0000004F         FFFFFDEE         00000000000461A5
172       FFFFFE8F         000000D9         000000000002CBD2
173       000000B7         00000056         0000000000009FB5
174       0000014E         0000008F         00000000000203A5
175       FFFFFF60         FFFFFF34         0000000000010690
176       00000157         00000019         000000000001CE02
