FBin        FFTr             FFTi             SpectraPower
0FB       FFFED770         FFFCE028         0000000B1A935740
0FC       FFFDC5D7         FFFA0389         00000028CB7B19E2
0FD       FFFACFC5         FFF203D9         000000DE7FB6FB8A
0FE       FFEE671D         FFD09A51         000009FC2819E6EA
0FF       FF1E780F         FDA0775D         000668797BB9A8AA
100       02A950C8         072B5298         003A7B180B435680
101       FE16BB53         FADA039B         001E28964F5F5CC2
102       002D3D19         0079DD5B         0000420188CB2ACA
103       00090109         001845DD         0000029E3F23F31A
104       000352EB         0008ECF3         0000005AB6DE5262
105       00019388         00044630         00000014C0D3C140
106       0000E174         00025DD8         000000066053C2D0
107       00008AAD         000173C9         00000002670F2CBA
108       000059FC         0000F38B         0000000107525D89
109       00003F1B         0000AA11         000000008088E1FA
10A       00002D85         00007A90         0000000042C59819
10B       000020D5         00005935         00000000234BD632
10C       00001A72         000044EC         0000000015499454
10D       000012C0         000037C5         000000000D85CD99
10E       0000122D         00002A1E         000000000838376D
10F       00000BF4         000022BD         000000000545A019
110       00000A81         00001CF3         0000000003B463AA
111       00000A2B         000017DA         0000000002A048DD
112       00000758         00001473         0000000001D819E9
113       00000588         000011ED         00000000015FEDA9
114       000004E0         00000D71         0000000000CC6FE1
115       00000689         00000E01         0000000000EED152
116       0000025B         00000994         00000000006149E9
117       00000449         00000B7D         00000000009657DA
118       000002D3         000006F9         000000000038981A
119       00000336         00000859         00000000004FFE55
11A       00000172         00000649         0000000000299795
11B       0000020B         000004CD         00000000001B38A2
11C       00000233         0000068E         00000000002FCCED
11D       00000206         00000452         000000000016C268
11E       000001F9         00000360         00000000000F4831
11F       FFFFFF82         000005BE         0000000000213708
120       00000351         00000249         0000000000103872
121       FFFFFFA5         00000430         000000000011A959
122       0000019F         00000293         000000000009412A
123       00000227         000002D5         00000000000CA72A
124       FFFFFF63         00000210         000000000004A149
125       00000164         00000103         000000000002F519
126       0000005D         0000031F         000000000009DF8A
127       0000023D         00000194         0000000000078019
128       000000ED         00000149         000000000002823A
129       FFFFFEFF         0000024B         00000000000643FA
12A       0000010C         000000BF         000000000001A711
12B       000000A5         000001AB         0000000000033292
12C       0000007C         00000247         0000000000056BC1
12D       00000016         00000113         000000000001294D
12E       00000142         00000154         0000000000035894
12F       FFFFFEE7         00000034         0000000000013F01
130       00000129         0000037F         00000000000D9192
131       FFFFFF14         FFFFFE0A         000000000004B1F4
132       0000018D         000002A3         0000000000095B72
133       0000006C         00000135         000000000001A289
134       00000133         0000003F         0000000000017FAA
135       FFFFFE28         0000014A         0000000000050FA4
136       00000005         00000093         0000000000005482
137       000001BF         00000085         000000000003519A
138       FFFFFFE8         00000082         0000000000004444
139       FFFFFF91         FFFFFFFD         000000000000302A
13A       000000C7         000000DA         0000000000015455
13B       0000003B         00000140         0000000000019D99
13C       FFFFFEB8         00000044         000000000001B650
13D       000001A6         FFFFFFEC         000000000002B934
13E       0000004A         FFFFFFA0         0000000000003964
13F       00000023         00000095         0000000000005B82
140       FFFFFF8C         00000274         0000000000063920
141       000000CB         FFFFFE66         000000000003319D
142       FFFFFDF0         0000010E         0000000000055DC4
143       0000029F         00000082         00000000000720C5
144       FFFFFF3C         00000062         000000000000BB94
145       FFFFFEBE         FFFFFFAB         000000000001B13D
146       000001A0         000001C2         000000000005BB04
147       FFFFFF8B         FFFFFE3C         0000000000035389
148       000000B4         00000075         000000000000B409
149       FFFFFFC3         00000132         0000000000017C4D
14A       FFFFFF2D         00000077         000000000000E53A
14B       0000005C         00000017         0000000000002321
14C       00000181         FFFFFF76         0000000000028D65
14D       FFFFFFF6         FFFFFFAF         0000000000001A05
14E       FFFFFE96         0000007C         0000000000023BF4
14F       000000D7         00000020         000000000000B891
150       FFFFFF4B         00000150         00000000000238F9
151       00000101         FFFFFE06         000000000004EA25
152       FFFFFF09         00000153         000000000002AF3A
153       FFFFFFC6         FFFFFF6B         00000000000063DD
154       FFFFFFEA         000000CF         000000000000A945
155       0000023D         FFFFFF59         0000000000056F7A
156       FFFFFDCB         FFFFFFF4         000000000004DF89
157       000000B0         00000013         0000000000007A69
158       0000008E         000001CF         0000000000039425
159       00000024         FFFFFEBB         000000000001A1A9
15A       FFFFFE76         0000011E         0000000000039DE8
15B       00000168         FFFFFFD3         0000000000020229
15C       00000022         000000F4         000000000000ED14
15D       FFFFFFB7         0000006A         00000000000040B5
15E       0000010E         00000077         0000000000015415
15F       FFFFFE7D         FFFFFEAF         00000000000404AA
160       000000AC         00000191         000000000002E7B1
161       00000076         FFFFFF09         00000000000124B5
162       FFFFFEB2         00000156         0000000000037CA8
163       00000153         000000B3         0000000000023E12
164       0000005E         FFFFFF09         00000000000110D5
165       FFFFFE2E         0000007E         0000000000038E48
166       00000138         0000014D         0000000000032D69
167       000000AC         000000DF         00000000000135D1
168       FFFFFECD         FFFFFF0C         00000000000258B9
169       0000012D         0000007C         0000000000019DF9
16A       0000006B         FFFFFF7D         0000000000006FC2
16B       FFFFFEF9         000000E2         000000000001D5B5
16C       0000004D         FFFFFE18         000000000003B969
16D       00000061         000000E9         000000000000F8D2
16E       FFFFFF7D         00000111         000000000001662A
16F       00000076         FFFFFEE6         0000000000016D08
170       FFFFFF1A         FFFFFFCC         000000000000D934
171       000000E5         00000194         0000000000034A69
172       FFFFFFFF         FFFFFF30         000000000000A901
173       FFFFFEBF         FFFFFE9E         0000000000037C05
174       00000113         000001E1         000000000004AF2A
175       0000004D         FFFFFE2D         0000000000036B12
176       FFFFFF50         00000158         0000000000024740
177       000000CD         000000EB         0000000000017BE2
178       000000C9         FFFFFED6         000000000001F8B5
179       FFFFFF36         FFFFFFFB         0000000000009F7D
17A       FFFFFF5C         00000136         000000000001E074
17B       000000E6         FFFFFDA2         0000000000066928
17C       00000016         000002CB         000000000007CEDD
17D       FFFFFF5C         FFFFFEEA         00000000000196F4
17E       00000070         FFFFFE82         0000000000026B04
17F       00000022         0000017D         0000000000023B8D
180       00000153         00000023         000000000001C5B2
181       FFFFFF1E         FFFFFEBC         0000000000026194
182       FFFFFF5A         000000BE         000000000000F8A8
183       000000E9         0000000E         000000000000D4D5
184       FFFFFF96         FFFFFE77         0000000000028735
185       00000107         000001B7         000000000003FF02
186       FFFFFE72         FFFFFFD3         00000000000272AD
187       0000019C         0000001A         00000000000299B4
188       FFFFFEF5         FFFFFEDA         000000000002681D
189       FFFFFF9E         0000001F         0000000000002945
18A       00000189         FFFFFF6C         000000000002B0E1
18B       FFFFFE53         00000280         0000000000090EE9
18C       000000AD         FFFFFDFE         0000000000047CED
18D       00000118         000000DE         000000000001F2C4
18E       FFFFFE1B         FFFFFF6D         000000000003EB42
18F       00000104         000000FD         0000000000020219
190       000000CB         FFFFFDC9         00000000000588CA
191       FFFFFF57         00000106         0000000000017BB5
192       00000045         0000006F         00000000000042BA
193       FFFFFFA8         FFFFFDD0         000000000004E740
194       0000013C         0000009D         000000000001E659
195       FFFFFDF6         00000173         000000000006420D
196       0000015F         FFFFFF88         0000000000021981
197       FFFFFE6E         000000E4         0000000000034254
198       0000006D         FFFFFDFC         0000000000043E79
199       00000120         0000025C         000000000006D510
19A       FFFFFF43         FFFFFFBE         0000000000009C8D
19B       00000012         FFFFFE7B         000000000002505D
19C       FFFFFFB8         00000174         00000000000230D0
19D       00000007         FFFFFD87         0000000000061D62
19E       000000FB         0000022C         000000000005ADA9
19F       FFFFFF8A         00000000         0000000000003664
1A0       FFFFFE9A         FFFFFF24         000000000002B1B4
1A1       00000102         0000017B         000000000003351D
1A2       00000082         FFFFFED6         0000000000019CE8
1A3       FFFFFF23         0000003E         000000000000CDCD
1A4       00000064         0000007D         0000000000006419
1A5       FFFFFF2A         FFFFFFBB         000000000000C57D
1A6       FFFFFFE6         FFFFFF76         0000000000004D08
1A7       000000D3         000000A6         000000000001198D
1A8       FFFFFF8E         FFFFFF51         000000000000AA65
1A9       00000041         FFFFFF24         000000000000CD91
1AA       00000070         FFFFFEF2         0000000000014DC4
1AB       FFFFFFFA         FFFFFF9F         00000000000024E5
1AC       000000DD         000001C5         000000000003E062
1AD       FFFFFE1A         FFFFFFE6         0000000000039D48
1AE       0000016F         0000004D         000000000002254A
1AF       00000040         0000005A         0000000000002FA4
1B0       FFFFFE21         FFFFFF5A         000000000003EBE5
1B1       0000026F         00000236         00000000000ACF85
1B2       FFFFFEA1         FFFFFE77         0000000000043C92
1B3       00000086         000000A0         000000000000AA24
1B4       FFFFFFEF         FFFFFFB6         0000000000001685
1B5       00000053         0000007A         000000000000550D
1B6       00000054         000000A8         00000000000089D0
1B7       FFFFFEF1         00000046         0000000000013205
1B8       000000EF         0000002D         000000000000E70A
1B9       FFFFFF3E         FFFFFE63         0000000000032D4D
1BA       00000065         00000035         00000000000032D2
1BB       FFFFFFBA         000000D8         000000000000C964
1BC       FFFFFE5E         FFFFFFD5         000000000002B1BD
1BD       0000024D         0000010D         00000000000665D2
1BE       FFFFFF56         FFFFFF34         0000000000011374
1BF       FFFFFFC6         000000A1         0000000000007265
1C0       00000011         0000000C         00000000000001B1
1C1       00000042         FFFFFEBC         000000000001AB14
1C2       00000027         000000BC         0000000000009001
1C3       FFFFFEC5         00000027         000000000001898A
1C4       00000179         FFFFFFB8         0000000000023F71
1C5       FFFFFF54         000001C8         0000000000039FD0
1C6       000000E4         FFFFFE79         0000000000032041
1C7       FFFFFEF0         FFFFFFFB         0000000000012119
1C8       000000C1         0000005A         000000000000B125
1C9       FFFFFFBB         FFFFFEBC         000000000001ACA9
1CA       00000064         000000AE         0000000000009D54
1CB       FFFFFF9D         00000005         0000000000002662
1CC       00000077         FFFFFF17         0000000000010B62
1CD       00000035         FFFFFFD2         000000000000133D
1CE       FFFFFF1C         FFFFFFCC         000000000000D5A0
1CF       00000110         000000F5         0000000000020B79
1D0       00000023         FFFFFF98         0000000000002F09
1D1       00000008         FFFFFFD2         0000000000000884
1D2       FFFFFEBC         00000057         000000000001B7A1
1D3       000000D0         0000001E         000000000000AC84
1D4       FFFFFFCB         FFFFFFFC         0000000000000B09
1D5       FFFFFF85         0000001A         0000000000003DBD
1D6       000000E7         FFFFFEFB         000000000001DA8A
1D7       00000080         000001B3         0000000000032329
1D8       FFFFFF13         FFFFFE97         000000000002D87A
1D9       000000B5         00000086         000000000000C61D
1DA       FFFFFF89         000001A6         000000000002EEF5
1DB       FFFFFF48         FFFFFF09         0000000000017291
1DC       000001AF         00000118         00000000000407E1
1DD       FFFFFEC8         FFFFFF82         000000000001BA44
1DE       FFFFFF32         00000090         000000000000F6C4
1DF       00000170         FFFFFFE4         0000000000021410
1E0       000000BC         FFFFFF3B         00000000000121A9
1E1       FFFFFE6F         000000CA         0000000000031385
1E2       00000155         FFFFFF6F         000000000002185A
1E3       FFFFFF3F         00000186         000000000002E3A5
1E4       000000D2         00000070         000000000000DD44
1E5       FFFFFF39         FFFFFEF3         000000000001B55A
1E6       000000F7         FFFFFF7B         000000000001336A
1E7       FFFFFE99         0000007F         0000000000023672
1E8       0000003C         FFFFFE25         0000000000037F69
1E9       0000014F         00000185         000000000004057A
1EA       FFFFFDC8         00000054         00000000000507D0
1EB       000002EE         FFFFFFC7         000000000008A1F5
1EC       FFFFFE33         FFFFFF70         0000000000038F29
1ED       00000125         00000051         00000000000168FA
1EE       FFFFFF02         FFFFFF04         000000000001F414
1EF       000000A1         00000224         000000000004FA51
1F0       00000132         0000001F         0000000000017185
1F1       FFFFFE3D         FFFFFF24         000000000003D799
1F2       0000011E         00000001         0000000000013F85
1F3       FFFFFEC4         000000BF         0000000000021491
1F4       00000007         FFFFFF18         000000000000D271
1F5       00000204         000000E2         000000000004D794
1F6       FFFFFE58         FFFFFFCA         000000000002C9A4
1F7       0000007D         FFFFFF6F         0000000000008F2A
1F8       FFFFFFBD         000000DA         000000000000CB2D
1F9       000001A5         FFFFFF82         000000000002F25D
1FA       FFFFFE16         FFFFFF6B         000000000004009D
1FB       FFFFFF6C         0000002E         0000000000005DD4
1FC       000001A9         00000155         00000000000487CA
1FD       FFFFFE70         00000076         000000000002A764
1FE       00000195         FFFFFF3A         00000000000319DD
1FF       FFFFFEEB         000000EB         0000000000020372
000       00000062         00000000         0000000000002584
001       FFFFFE4E         FFFFFEB8         0000000000048404
002       0000010D         0000018C         0000000000037F39
003       FFFFFF1F         FFFFFE8C         000000000002E251
004       00000166         FFFFFFDF         000000000001F8E5
005       FFFFFF2F         00000229         0000000000055532
006       000000C3         FFFFFFA1         000000000000B7CA
007       00000007         FFFFFF19         000000000000D0A2
008       FFFFFE44         0000022E         000000000007C254
009       0000022E         FFFFFE4D         000000000007A36D
00A       FFFFFE67         00000185         000000000004DC8A
00B       FFFFFFFF         FFFFFF16         000000000000D5E5
00C       0000015D         FFFFFF88         0000000000021409
00D       FFFFFEA4         0000015F         000000000003BA51
00E       0000005F         FFFFFF6B         00000000000079FA
00F       0000011D         0000008B         00000000000188C2
010       FFFFFE7E         FFFFFFB0         0000000000025F04
011       0000009B         0000017C         00000000000291E9
012       FFFFFF54         FFFFFF6B         000000000000CA49
013       00000119         FFFFFF90         0000000000016571
014       FFFFFFC0         00000047         00000000000023B1
015       00000061         000000AE         0000000000009B05
016       FFFFFE57         FFFFFECD         00000000000431BA
017       00000147         0000005C         000000000001C2C1
018       0000006C         0000003C         0000000000003BA0
019       FFFFFFBD         FFFFFF5C         0000000000007A99
01A       FFFFFFE0         000000B4         0000000000008290
01B       00000042         FFFFFE92         0000000000021C48
01C       FFFFFF4C         000000C7         0000000000011941
01D       FFFFFFCB         FFFFFFE4         0000000000000E09
01E       000000F9         FFFFFFEE         000000000000F375
01F       FFFFFF4F         00000226         0000000000051805
020       FFFFFFBB         FFFFFE3C         00000000000330A9
021       00000044         00000013         0000000000001379
022       000000EF         FFFFFFCE         000000000000E8E5
023       FFFFFD82         0000003C         0000000000064414
024       0000022C         FFFFFE6D         00000000000731F9
025       FFFFFF1D         000000D0         0000000000017249
026       FFFFFFCD         00000068         0000000000003469
027       0000012F         0000000F         0000000000016782
028       FFFFFFC4         00000004         0000000000000E20
029       00000008         00000052         0000000000001A84
02A       0000001A         FFFFFF15         000000000000DA5D
02B       FFFFFFC3         00000092         00000000000061CD
02C       000000CB         FFFFFF2D         0000000000014EE2
02D       FFFFFE97         00000145         00000000000399AA
02E       000001AB         FFFFFF11         000000000003A75A
02F       FFFFFE67         000000BA         0000000000031495
030       000000A9         0000002D         000000000000777A
031       000000E9         0000011B         0000000000020CEA
032       FFFFFF41         FFFFFE7E         000000000002D485
033       0000003E         0000008D         0000000000005CAD
034       00000000         00000097         0000000000005911
035       000000F2         FFFFFDB4         0000000000062B54
036       FFFFFE70         0000016D         0000000000047969
037       0000012E         FFFFFFC0         0000000000017444
038       0000005C         00000108         0000000000013150
039       FFFFFE48         FFFFFE0D         000000000006C0E9
03A       0000005D         00000044         00000000000033D9
03B       00000023         0000005C         00000000000025D9
03C       0000009A         FFFFFE90         0000000000026DA4
03D       00000085         00000265         00000000000600F2
03E       FFFFFE9D         FFFFFF85         0000000000022762
03F       00000088         FFFFFE92         0000000000025384
040       00000031         00000061         0000000000002E22
041       0000005D         FFFFFF7E         00000000000063CD
042       FFFFFE7E         FFFFFF71         00000000000295E5
043       00000090         000000D1         000000000000FBA1
044       0000001B         FFFFFF34         000000000000A569
045       000000D9         00000035         000000000000C2EA
046       FFFFFF08         FFFFFF47         00000000000175F1
047       00000118         00000044         0000000000014450
048       FFFFFF3D         00000092         000000000000E7CD
049       FFFFFF7F         FFFFFFE1         00000000000044C2
04A       FFFFFFCF         00000068         00000000000033A1
04B       00000130         0000006E         0000000000019844
04C       FFFFFF2B         000000AD         0000000000012622
04D       00000109         FFFFFF35         000000000001B34A
04E       FFFFFFD0         FFFFFFD8         0000000000000F40
04F       FFFFFE42         00000037         00000000000314D5
050       0000023E         00000058         0000000000052544
051       FFFFFF34         FFFFFFB4         000000000000B920
052       FFFFFF0B         FFFFFF5E         00000000000150FD
053       0000020E         000000E4         00000000000503D4
054       FFFFFED0         00000030         0000000000017200
055       FFFFFFBF         FFFFFF66         0000000000006D25
056       000002B6         0000008E         000000000007A828
057       FFFFFE5F         FFFFFCCF         00000000000CD6A2
058       00000051         0000037D         00000000000C44AA
059       00000049         FFFFFDFB         00000000000428EA
05A       FFFFFF20         FFFFFF9B         000000000000EBD9
05B       FFFFFFD9         FFFFFF73         000000000000539A
05C       00000198         0000010D         000000000003A4E9
05D       FFFFFE5A         FFFFFD9B         000000000008737D
05E       FFFFFFF5         00000151         000000000001BC1A
05F       000000CB         FFFFFEC5         0000000000022492
060       FFFFFF86         0000008D         00000000000087CD
061       000000C4         00000113         000000000001BD79
062       00000053         FFFFFFD8         0000000000002129
063       FFFFFF27         00000000         000000000000B7F1
064       0000009F         00000066         0000000000008B65
065       FFFFFF5C         FFFFFE56         0000000000032DF4
066       000001A4         000000B0         0000000000032A10
067       FFFFFD32         FFFFFF87         00000000000816F5
068       00000153         0000006E         000000000001F02D
069       0000005C         FFFFFF9D         0000000000004759
06A       FFFFFF89         00000002         0000000000003755
06B       0000005B         000000BB         000000000000A8F2
06C       000000AD         FFFFFF50         000000000000EDE9
06D       FFFFFFA4         FFFFFFA8         0000000000003F50
06E       000000EC         00000095         0000000000013049
06F       FFFFFEAA         00000066         000000000001F188
070       000000DA         FFFFFFB5         000000000000CF9D
071       FFFFFF84         00000135         000000000001B109
072       00000154         FFFFFE66         0000000000045434
073       FFFFFE9C         000001CD         0000000000052D39
074       FFFFFFE0         FFFFFD90         000000000005F500
075       00000098         0000011C         0000000000019550
076       00000115         00000041         0000000000013C3A
077       FFFFFE83         FFFFFFC5         00000000000244A2
078       FFFFFFB7         FFFFFFC2         00000000000023D5
079       000001A6         00000046         000000000002CAC8
07A       FFFFFEC1         00000008         0000000000018DC1
07B       000000D0         0000000D         000000000000A9A9
07C       FFFFFE63         000000AF         00000000000311EA
07D       000001F3         FFFFFF06         000000000004C0CD
07E       FFFFFF12         000000AC         00000000000150D4
07F       000000F0         FFFFFFD1         000000000000E9A1
080       FFFFFE30         0000003C         0000000000035710
081       00000173         00000005         00000000000219C2
082       FFFFFF6F         FFFFFFE5         00000000000054FA
083       00000113         FFFFFF77         00000000000170BA
084       FFFFFEC7         00000069         000000000001A9C2
085       00000029         FFFFFF66         0000000000006335
086       FFFFFF64         FFFFFF80         0000000000009F10
087       000000D7         0000003C         000000000000C2A1
088       00000096         00000022         0000000000005C68
089       FFFFFE8F         000000BF         000000000002A262
08A       FFFFFF78         FFFFFE67         000000000002D5B1
08B       000001FB         0000009B         00000000000449F2
08C       FFFFFFEA         FFFFFF35         000000000000A2DD
08D       FFFFFF41         FFFFFF9C         000000000000B591
08E       FFFFFF30         FFFFFF1A         00000000000177A4
08F       000000DE         000000AF         0000000000013825
090       00000002         FFFFFF7D         000000000000430D
091       FFFFFFB8         FFFFFF5F         0000000000007981
092       00000073         0000007D         00000000000070B2
093       FFFFFF83         FFFFFF90         0000000000006E09
094       00000115         FFFFFFD4         0000000000013349
095       FFFFFF8C         FFFFFFB6         00000000000049F4
096       FFFFFF66         0000015B         00000000000232FD
097       0000004C         FFFFFF44         000000000000A0A0
098       FFFFFF06         000000B6         0000000000017588
099       00000034         FFFFFF13         000000000000E5F9
09A       FFFFFFF1         FFFFFF3F         0000000000009262
09B       0000001D         FFFFFFA3         0000000000002512
09C       0000002D         00000045         0000000000001A82
09D       0000003D         FFFFFFD1         000000000000172A
09E       FFFFFF9C         FFFFFF06         0000000000011B34
09F       00000019         0000000D         000000000000031A
0A0       00000084         000000BB         000000000000CCA9
0A1       00000051         FFFFFF2E         000000000000C5E5
0A2       FFFFFF6D         FFFFFFD9         0000000000005A5A
0A3       00000074         FFFFFF0E         0000000000011954
0A4       0000002B         00000195         00000000000287F2
0A5       FFFFFE84         FFFFFE6E         000000000004AB54
0A6       000000FA         0000005C         0000000000011534
0A7       00000088         FFFFFF02         0000000000014444
0A8       FFFFFFA6         00000036         0000000000002B08
0A9       00000151         FFFFFECF         0000000000032702
0AA       FFFFFEBD         000000FD         0000000000029192
0AB       00000101         FFFFFF67         0000000000015D72
0AC       FFFFFE6A         FFFFFEE0         000000000003C7E4
0AD       000002C8         FFFFFED6         0000000000091724
0AE       FFFFFDE9         000000D0         0000000000050711
0AF       00000299         FFFFFED7         0000000000081802
0B0       FFFFFD9A         00000095         000000000006175D
0B1       00000140         FFFFFFD6         00000000000196E4
0B2       FFFFFF3D         FFFFFE6F         00000000000308AA
0B3       000000FE         00000277         0000000000070F55
0B4       FFFFFF93         FFFFFE40         0000000000033E69
0B5       0000004D         00000028         0000000000001D69
0B6       FFFFFF70         0000004E         00000000000068C4
0B7       FFFFFF9A         FFFFFE27         0000000000039295
0B8       FFFFFFF5         0000019D         0000000000029AC2
0B9       000000F5         FFFFFE0B         000000000004BEF2
0BA       FFFFFEEB         00000050         00000000000144B9
0BB       00000085         FFFFFE6B         000000000002C5D2
0BC       FFFFFFED         0000017C         0000000000023579
0BD       00000023         FFFFFE58         000000000002C309
0BE       FFFFFE20         0000008B         000000000003CF79
0BF       000002AF         FFFFFFC2         00000000000742A5
0C0       FFFFFDBB         FFFFFE7C         00000000000772A9
0C1       000000E4         00000080         0000000000010B10
0C2       FFFFFE15         FFFFFFBE         000000000003BEBD
0C3       0000018D         FFFFFE66         000000000004F84D
0C4       FFFFFE39         000001DD         000000000006A17A
0C5       FFFFFFDC         FFFFFEC8         0000000000018150
0C6       FFFFFE16         FFFFFF9A         000000000003D288
0C7       FFFFFFC4         FFFFFEEE         0000000000013354
0C8       FFFFFE05         FFFFFF98         0000000000041659
0C9       FFFFFF53         00000008         0000000000007529
0CA       FFFFFC6B         FFFFFEFE         00000000000DD8BD
0CB       FFFFFB4E         FFFFFF51         0000000000168365
0CC       FFFFFC9A         FFFFFF3E         00000000000C1FA8
0CD       FFFFF810         000000C9         00000000003F9ED1
0CE       FFFFF5CB         FFFFFFE1         00000000006832BA
0CF       FFFFEEAA         0000006D         00000000012CB74D
0D0       FFFFE19A         00000051         00000000039C2A45
0D1       FFFFC61E         00000443         000000000D28950D
0D2       FFFF708E         00000B2C         0000000050DD5E54
0D3       FFFDF5A5         00002A26         0000000430C7B9FD
0D4       FFCE1DAD         00040A12         000009C8BCD2102D
0D5       0079CA09         FFF61D6B         00003A5252F99F0A
0D6       FFB6982C         0005F416         0000152FD29A3974
0D7       000346FB         FFFFBB15         0000000AD01DE9D2
0D8       0000BF1A         FFFFEF9D         000000008FB454ED
0D9       00004839         FFFFF78F         0000000014A75E92
0DA       000025EC         FFFFFADC         0000000005B87EA0
0DB       00001406         FFFFFCE2         00000000019AA7A8
0DC       00000C8A         FFFFFD52         0000000000A468A8
0DD       00000A7F         FFFFFADB         000000000088A25A
0DE       000006F2         FFFFFF6E         0000000000309008
0DF       000004A5         FFFFFAA3         0000000000325622
0E0       00000538         FFFFFD57         0000000000224FD1
0E1       000003E3         FFFFFCCA         0000000000196AAD
0E2       000003C4         FFFFFAB8         00000000002A1250
0E3       000003AB         FFFFFC32         00000000001BEDFD
0E4       00000349         FFFFFB03         000000000023ACDA
0E5       00000377         FFFFF91A         00000000003B97F5
0E6       000003B9         FFFFFB43         0000000000244F3A
0E7       000003F0         FFFFF8E2         0000000000422884
0E8       00000371         FFFFF916         00000000003BA5C5
0E9       00000622         FFFFF6C0         00000000007B2C84
0EA       00000341         FFFFF5EF         00000000006FEBA2
0EB       00000667         FFFFF5BA         0000000000928895
0EC       000005F6         FFFFF349         0000000000C53335
0ED       0000098B         FFFFF1AF         000000000128071A
0EE       0000070E         FFFFEDA4         000000000182D5D4
0EF       00000A40         FFFFEC22         0000000001F3C484
0F0       00000C68         FFFFE77C         0000000002F2EE50
0F1       00000E77         FFFFDFF9         0000000004D2FB82
0F2       000011FA         FFFFDB64         00000000067F6734
0F3       000015A9         FFFFD0B2         000000000A92E555
0F4       00001D8A         FFFFC500         0000000011018E64
0F5       00002376         FFFFB2ED         000000001C1DE9CD
0F6       00002FC0         FFFF9C18         000000002FE55240
0F7       00004161         FFFF762E         000000005AE4D705
0F8       00005A92         FFFF3D29         00000000B4558BD5
0F9       00008A5D         FFFEE166         000000018BA4DA6D
0FA       0000D48D         FFFE3BC3         00000003CF614C32
0FB       00016BEA         FFFCFE17         0000000B10CB17F5
0FC       0002BDFF         FFFA38BB         00000028E8CCDC9A
0FD       0006604F         FFF28634         000000DE4099D2F1
0FE       0015A46B         FFD24BC2         000009FD3FDA83BD
0FF       011554AE         FDB64E0D         0006686F20D692ED
100       FCBA3380         06E96051         003A7B17240B19A1
101       0259A3BE         FB095D9F         001E28A1BC4269C5
102       FFC86011         00757D9E         000042022CAC6EA5
103       FFF4EBDB         00176518         0000029E0EFFBF99
104       FFFBEC2D         00089C5D         0000005AC57279B2
105       FFFE0E40         00041E49         00000014BDA840D1
106       FFFEE977         000246D9         000000065E0D3942
107       FFFF581B         00016782         0000000266FA70DD
108       FFFF8FA4         0000EC19         000000010B0EBB81
109       FFFFB2E1         0000A1C0         000000007D6EB9C1
10A       FFFFC7DC         00007770         0000000044091610
10B       FFFFD6D0         00005581         00000000232F5401
10C       FFFFE0E2         0000431E         000000001560FF08
10D       FFFFE775         00003472         000000000D18DE3D
10E       FFFFEB64         00002A0A         0000000008900774
10F       FFFFEFB9         00002005         00000000050A33CA
110       FFFFF464         00001C5C         0000000003AB0820
111       FFFFF2BA         0000179C         0000000002DD9634
112       FFFFF784         0000136A         0000000001C0E3F4
113       FFFFF859         0000117F         00000000016CABF2
114       FFFFFA08         00000CC7         0000000000C6E2F1
115       FFFFF94D         00000CE4         0000000000D30C39
116       FFFFFB2D         00000B15         00000000009215A2
117       FFFFFC32         000007A6         000000000048F968
118       FFFFFC4B         00000A02         000000000071E5FD
119       FFFFFCCE         00000564         00000000002744D4
11A       FFFFFD43         0000084D         00000000004C66B2
11B       FFFFFBEB         0000040A         000000000020FA1D
11C       FFFFFF5F         000004FF         0000000000195B42
11D       FFFFFCF7         00000590         0000000000282751
11E       FFFFFEBA         000003B4         00000000000F55B4
11F       FFFFFD7F         000004FC         00000000001F1D11
120       FFFFFECC         0000026F         0000000000075EB1
121       FFFFFE87         00000325         00000000000C0E8A
122       FFFFFE60         0000025E         0000000000083E84
123       FFFFFEFB         000002DD         0000000000093CE2
124       FFFFFE92         000001A0         000000000004AF44
125       FFFFFEA0         0000027C         0000000000081010
126       00000024         000001CC         0000000000033FA0
127       FFFFFDE1         000001A3         0000000000072D8A
128       FFFFFEC6         0000018F         000000000003EF05
129       0000003B         00000331         00000000000A3CFA
12A       FFFFFE8E         FFFFFF9E         0000000000023C48
12B       FFFFFFBD         000001A1         000000000002B8CA
12C       FFFFFECB         000001B0         0000000000044DF9
12D       FFFFFFE1         0000014A         000000000001AD25
12E       000000D6         00000150         0000000000026BE4
12F       FFFFFE26         000001A5         00000000000621FD
130       000000CA         00000045         000000000000B1FD
131       FFFFFD00         0000022F         00000000000DC4A1
132       00000389         FFFFFF99         00000000000CA8C2
133       FFFFFCD0         000001A5         00000000000CDD59
134       00000104         000001C6         0000000000042D34
135       FFFFFFCC         FFFFFFC1         0000000000001A11
136       FFFFFF77         00000006         0000000000004975
137       FFFFFF5D         000000EC         0000000000014159
138       0000002F         00000174         0000000000022531
139       FFFFFFEE         FFFFFF82         0000000000003F48
13A       FFFFFECE         00000136         000000000002E528
13B       00000026         000000BA         0000000000008CC8
13C       FFFFFFFB         FFFFFE8B         0000000000021F92
13D       FFFFFEF5         000002B0         0000000000084F79
13E       0000009D         FFFFFFB2         000000000000780D
13F       FFFFFFB6         FFFFFE2C         0000000000036CF4
140       FFFFFF0D         0000032C         00000000000AF639
141       000001AB         FFFFFE7E         0000000000050E3D
142       FFFFFEE6         0000019B         000000000003CA7D
